userId,serviceId,rating,timestamp
1001,1,4.5,01-03-2022 08:30
1001,2,3,02-03-2022 11:20
1001,3,2.5,03-03-2022 15:45
1001,4,4,04-03-2022 09:10
1001,5,3.5,05-03-2022 12:55
1001,6,4,06-03-2022 17:30
1001,7,2,07-03-2022 14:15
1001,8,3.5,08-03-2022 10:40
1001,9,4,09-03-2022 13:20
1002,1,3,01-03-2022 09:45
1002,2,4,02-03-2022 10:30
1002,3,2,03-03-2022 14:00
1002,4,4.5,04-03-2022 08:50
1002,5,3,05-03-2022 11:40
1002,6,3.5,06-03-2022 16:00
1002,7,2.5,07-03-2022 13:10
1002,8,4,08-03-2022 09:25
1002,9,3,09-03-2022 12:15
333,8,1,
333,2,3,
333,3,4,
333,1,5,
333,10,5,
333,7,4,
333,5,4,
444,4,3,
444,6,3,
444,9,4,
444,8,3,
444,2,5,
444,3,4,
444,1,3,
444,10,3,
444,7,3,
555,5,3,
555,4,3,
555,6,3,
555,9,5,
555,8,1,
555,2,3,
555,3,3,
555,1,3,
555,10,4,
555,7,4,
666,5,5,
666,4,5,
666,6,3,
666,9,4,
666,8,3,
666,2,4,
666,3,3,
666,1,4,
666,10,2,
666,7,1,
777,5,3,
777,4,4,
777,6,4,
777,9,3,
777,8,3,
777,2,3,
777,3,3,
777,1,2,
777,10,3,
777,7,3,
888,5,3,
888,4,3,
888,6,2,
888,9,3,
888,8,4,
888,2,3,
888,3,4,
888,1,2,
888,10,4,
888,7,3,
999,5,3,
999,4,4,
999,7,4,
999,3,4,
999,10,4,
999,6,4,
999,1,4,
999,4,3,
999,9,3,
999,2,5,
100,5,3,
100,8,5,
100,4,3,
100,7,3,
100,3,3,
100,10,5,
11,6,5,
11,1,5,
11,4,3,
11,9,3,
11,2,4,
11,5,4,
11,8,3,
3,4,4,
12,7,3.5,
12,3,3,
12,10,4.5,
12,6,5,
12,1,2.5,
12,4,5,
12,9,2.5,
12,2,3,
12,5,3,
12,8,3,
12,8,3,
12,2,2,
12,3,3.5,
12,1,4,
13,10,3,
13,7,5,
13,5,3,
13,4,4,
13,6,3,
13,9,4,
13,8,3.5,
13,2,4.5,
13,3,4,
3,1,4,
14,10,4,
14,7,3,
14,5,3,
14,4,3.5,
14,7,3,
14,3,3.5,
15,10,4,
15,6,4,
15,1,5,
16,4,3,
16,9,4,
17,2,5,
17,3,3,
17,10,3.5,
17,6,3,
17,1,2.5,
17,4,3,
18,9,3.5,
18,2,3,
19,5,3.5,
20,8,3.5,
20,4,4.5,
20,7,4.5,
20,3,3,
21,10,4,
21,6,4,
21,1,5,
21,4,5,
22,9,5,
22,2,4,
22,5,3,
22,8,3,
22,4,5,
22,7,4,
23,3,5,
23,10,3,
23,6,5,
24,1,5,
24,4,5,
24,9,5,
24,2,4,
25,5,3,
25,8,3,
25,8,3,
25,2,4,
25,3,1,
25,1,4,
25,10,4,
26,7,4,
26,5,5,
26,4,5,
26,6,5,
26,9,5,
26,8,3,
26,2,5,
26,3,5,
27,1,4,
27,10,5,
27,7,5,
27,5,5,
27,4,4,
27,7,5,
28,3,5,
28,10,4,
28,3,4,
28,10,5,
29,6,5,
30,1,5,
30,4,5,
30,9,5,
30,2,5,
30,5,5,
30,8,5,
30,8,5,
31,2,5,
31,3,5,
31,1,5,
32,10,5,
32,7,5,
32,5,5,
32,4,5,
32,6,5,
32,9,5,
33,8,5,
33,2,5,
33,1,5,
33,3,5,
34,6,5,
34,7,5,
34,8,5,
34,9,5,
34,1,5,
34,2,5,
35,10,5,
35,2,5,
35,3,5,
35,7,5,
35,6,5,
35,4,4,
36,5,5,
36,3,5,
36,1,5,
36,3,5,
37,6,4,
37,7,5,
37,8,5,
37,9,4,
37,1,4,
38,2,4,
38,10,5,
38,2,5,
39,3,4,
39,7,4,
39,6,3,
39,4,4,
39,5,3,
39,3,3,
40,7,5,
41,3,5,
41,10,4,
41,6,5,
41,1,3,
41,4,5,
41,9,4,
41,2,5,
41,5,1,
42,8,5,
42,5,4,
42,3,2,
43,7,5,
43,3,5,
43,10,5,
43,6,3,
43,1,5,
43,4,5,
44,9,5,
44,2,3,
44,5,2,
45,8,5,
45,5,4,
45,3,5,
45,7,4,
45,3,4,
45,10,4,
46,6,4,
46,1,5,
46,4,3,
46,9,5,
46,2,5,
46,5,5,
47,8,4,
47,5,5,
47,3,5,
48,7,5,
48,3,5,
48,10,4,
48,6,5,
48,1,5,
48,4,5,
48,9,4,
48,2,5,
49,5,3,
49,8,5,
49,5,5,
49,3,4,
49,7,5,
50,3,4,
50,10,4,
50,6,5,
50,1,5,
50,4,5,
50,9,3,
50,2,5,
50,5,4,
50,8,3,
50,5,5,
50,3,5,
